p90p100,year,value
p90p100,1947,0.03687
p90p100,1948,0.03888
p90p100,1949,0.03835
p90p100,1950,0.03903
p90p100,1951,0.03794
p90p100,1952,0.03664
p90p100,1953,0.03563
p90p100,1954,0.03601
p90p100,1955,0.03670
p90p100,1956,0.03574
p90p100,1957,0.03569
p90p100,1958,0.03551
p90p100,1959,0.03595
p90p100,1960,0.03549
p90p100,1961,0.03557
p90p100,1962,0.03615
p90p100,1963,0.03658
p90p100,1964,0.03695
p90p100,1965,0.03665
p90p100,1966,0.03637
p90p100,1967,0.03526
p90p100,1968,0.03549
p90p100,1969,0.03411
p90p100,1970,0.03355
p90p100,1971,0.03408
p90p100,1972,0.03442
p90p100,1973,0.03462
p90p100,1974,0.03356
p90p100,1975,0.03395
p90p100,1976,0.03390
p90p100,1977,0.03427
p90p100,1978,0.03402
p90p100,1979,0.03431
p90p100,1980,0.03384
p90p100,1981,0.03433
p90p100,1982,0.03460
p90p100,1983,0.03536
p90p100,1984,0.03649
p90p100,1985,0.03655
p90p100,1986,0.03634
p90p100,1987,0.03747
p90p100,1988,0.03924
p90p100,1989,0.03878
p90p100,1990,0.03876
p90p100,1991,0.03832
p90p100,1992,0.03941
p90p100,1993,0.03910
p90p100,1994,0.03913
p90p100,1995,0.03990
p90p100,1996,0.04080
p90p100,1997,0.04155
p90p100,1998,0.04192
p90p100,1999,0.04228
p90p100,192000,0.04273
p90p100,192001,0.04194
p90p100,192002,0.04149
p90p100,192003,0.04164
p90p100,192004,0.04242
p90p100,192005,0.04359
p90p100,192006,0.04429
p90p100,192007,0.04404
p90p100,192008,0.04356
p90p100,192009,0.04245
p90p100,192010,0.04381
p90p100,192011,0.04426
p90p100,192012,0.04559
p90p100,192013,0.04490
p90p100,192014,0.04558
p90p100,192015,0.04550
p90p100,192016,0.04536
p90p100,192017,0.04546
p90p100,192018,0.04581
p90p100,192019,0.04567
p90p100,192020,0.04649
p90p100,192021,0.04785
p90p100,192022,0.04827